CALLE 1 ETP ESTRELLA CURAL NRO. -- FUNDO RUSTICO NRO 1264 LATERAL 12, UCHUMAYO, AREQUIPA, AREQUIPA
AV. SAN JUAN SN (A 3 CDRAS. DEL COLISEO DEPORTIVO FACHADA DE LADRILLO COLOR ROJO Y FRENTE AL COLEGIO SAN ANTONIO DE PADUA) , CUTERVO, CUTERVO, CAJAMARCA
CALLE LAS ROSAS SN REF. A MEDIA CUADRA DEL GRIFO SARITA COLONIA, CUTERVO, CUTERVO, CAJAMARCA
CALLE 24 DE JUNIO S/N (A 3 CUADRAS PLAZA DE ARMAS), HUAMBOS, CHOTA, CAJAMARCA
PSJE. CRUZ DE CHALPOM N° 100 (A ESPALDAS INSTITUCIÓN EDUCATICA N10236), CUTERVO, CUTERVO, CAJAMARCA
CALLE COMERCIO LT1 BARRIO ALTO HUALLAGA, CALLAYUC, CUTERVO, CAJAMARCA
AV.SALOMON VILCHEZ MURGA S/N, SAN ANDRES DE CUTERVO, CUTERVO, CAJAMARCA
AV. SALOMON VILCHEZ N° 841 (AL FRENTE DE LA BOTICA ROX Y ANA FARMA), CUTERVO, CUTERVO, CAJAMARCA
AV. SAN MARTIN DE PORRES N° 1837, CAJAMARCA, CAJAMARCA, CAJAMARCA
JR. JORGE CHAVEZ N° 849, BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. ADRIANO NOVOA N° 816, CHOTA, CHOTA, CAJAMARCA
JR. 24 DE JUNIO 533, HUAMBOS, CHOTA, CAJAMARCA
AV. BUENVENTURA JULCA PEDRAZA SN (COSTADO DE CERNAN-1 PISO- DE LADRILLO), SANTO DOMINGO DE LA CAPILLA, CUTERVO, CAJAMARCA
CALLE PULAN S/N C.P MENOR PULAN , PULAN, SANTA CRUZ, CAJAMARCA
CALLE POMAGON BAJO Nº S/N, BAMBAMARCA, HUALGAYOC, CAJAMARCA
COMUNIDAD PINGOBAMBA BEDOYA S/N SECTOR PEDRO SORO CARRETERA CHOTA, CHOTA, CHOTA, CAJAMARCA
JR. PEDRO MONTENEGRO N° 159, POR EL CENTRO INICIAL PAQUISHA, CUTERVO, CUTERVO, CAJAMARCA
CALLE MARISCAL CASTILLA N° 360, CHOTA, CHOTA, CAJAMARCA
JR. ATAHUALPA N° 519, SANTA CRUZ, SANTA CRUZ, CAJAMARCA
AV. CAJAMARCA SN CUADRA 02 BARRIO 15 DE SETIEMBRE, CUTERVO, CUTERVO, CAJAMARCA
CAS. PLAYA HERMOSA SN - REFERENCIA KM 70 CARRETERA CHIPLE CUTERVO FRENTE A LA CASA DEL GOBERNADOR , SANTO DOMINGO DE LA CAPILLA, CUTERVO, CAJAMARCA
CAL. COMERCIO SN (2 CDRAS DE PLAZA DE ARMAS - 1 PISO) , CALLAYUC, CUTERVO, CAJAMARCA
CALLE SIMON BOLIVAR NRO. 194 , BAMBAMARCA, HUALGAYOC, CAJAMARCA
CALLE MARISCAL CASTILLA N° 661, PUCARA, JAEN, CAJAMARCA
CALLE CESAR VALLEJO SN (FER. ENTRE LAS CALLES SALOMON VILCHEZ MURGA Y PARQUE NACIONAL), SAN ANDRES DE CUTERVO, CUTERVO, CAJAMARCA
JR. MIRAFLORES N° 600, CUTERVO, CUTERVO, CAJAMARCA
AV. JAEN 549, PUCARA, JAEN, CAJAMARCA
CALLE SAN MARTIN S/N, COLASAY, JAEN, CAJAMARCA
AVENIDA CHICLAYO 399, LAJAS, CHOTA, CAJAMARCA
Calle Amazonas 119, SOCOTA, CUTERVO, CAJAMARCA
JR. CUTERVO N° S/N , SOCOTA, CUTERVO, CAJAMARCA
JR. HAYA DE LA TORRE S/N, LAJAS, CHOTA, CAJAMARCA
CASERÍO AUQUE MIRADOR S/N (REF.: CERCA AL BOSQUE DE PIEDRAS), BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR SUCRE 231 SANTO TOMAS, SANTO TOMAS, CUTERVO, CAJAMARCA
JR. 28 DE JULIO NRO. 500 , SAN LUIS DE LUCMA, CUTERVO, CAJAMARCA
CAS. MAIGASBAMBA REF KM 196 (CRUCE CAJAMARCA - BAMBAMARCA), BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. AVIACIÓN S/N (REF. ESQUINA CON JR. 28 DE JULIO), TACABAMBA, CHOTA, CAJAMARCA
JR. LIBERTADORES 103, PIMPINGOS, CUTERVO, CAJAMARCA
SEC. II CABRACANCHA 1 (A 100 METROS DEL HOTEL SOL DEL VALLE), CHOTA, CHOTA, CAJAMARCA
JR.COMERCIO NRO 421, QUEROCOTO, CHOTA, CAJAMARCA
CALLE HUAYNA CAPAC N 351 AA.HH FILA ALTA, JAEN, JAEN, CAJAMARCA
AV. BAMBAMARCA S/N C.P. MORAN LIRIO, BAMBAMARCA, HUALGAYOC, CAJAMARCA
PROGRESO # 15 , NIEPOS, SAN MIGUEL, CAJAMARCA
CA. LAS ROSAS LTE24. CUTERVO SN (CON ESQUINA SALIDA A LIRIO), CUTERVO, CUTERVO, CAJAMARCA
AV.CATALINO TERAN S/N , BAMBAMARCA, HUALGAYOC , CAJAMARCA
JR. COMERCIO SN (A MEDIA CDRA DE LA COMISARIA PNP RURAL COCHAN -A 10 METROS DE LA FERRETRIA DON JORGE) , CONCHAN, CHOTA, CAJAMARCA
JR. PORVENIR 100, CUTERVO, CUTERVO, CAJAMARCA
CARRETERA CUYNA - PIMPINGOS KM 10 SECTOR LA ESPERANZA, PIMPINGOS, CUTERVO, CAJAMARCA
CAL. SAN JUAN 214, CHIGUIRIP, CHOTA, CAJAMARCA
JR. SANTA ROSA S/N CENTRO POBLADO CHANTA ALTA, ENCAÑADA, CAJAMARCA, CAJAMARCA
CAR. FERNANDO BELAUNDE TERRY SEC. SANTA ROSA KM. 116 (A 50 MTS DE GARITA DEL CONTROL FORESTAL), PUCARA, JAEN, CAJAMARCA
JR. SANTIAGO DELGADO FERNANDEZ S/N (PARALELA AL CEMENTERIO - INTERSECCIÓN JR. 15 DE AGOSTO)), CUTERVO, CUTERVO, CAJAMARCA
CALLE SAN CARLOS 1047, BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. MALECON QUILICHE S/N, BAMBAMARCA, HUALGAYOC, CAJAMARCA
AV. TUPAC AMARU N° 1105, BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. MARISCAL CACERES N° 1120 - BARRIO MOLLEPAMPA, CAJAMARCA, CAJAMARCA, CAJAMARCA
CALLE MARISCAL CASTILLA SECTOR PUEBLO LIBRE Nº 1624, JAEN, JAEN, CAJAMARCA
CARRETERA SANTO TOMAS -JAEN KM. 0.120, SANTO TOMAS, CUTERVO, CAJAMARCA
JR. CUTERVO SN (2 PISO.FACHADA VERDE-A 30 MTS IE N 10349), SANTO DOMINGO DE LA CAPILLA, CUTERVO, CAJAMARCA
MICAELA BASTIDAS 361, CHOTA, CHOTA, CAJAMARCA
JIRON SAN JUAN 691 CENTRO CHOTA, CHOTA, CHOTA, CAJAMARCA
JR. ROSENDO MENDIVEL NRO 248, LAJAS, CHOTA, CAJAMARCA
JR. YAWARINAS S.N. (A ESPALDAS DE LA OFICINA DE RECLUTAMIENT), CUTERVO, CUTERVO, CAJAMARCA
Jr. Benjamin Duble N503 (Al costado del banco de la Nacion), CUTERVO, CUTERVO, CAJAMARCA
JR.FRAY JOSE ARANA NRO 529, CHOTA, CHOTA, CAJAMARCA
JR. ROSENDO MENDIVEL Nº 509, LAJAS, CHOTA, CAJAMARCA
CALLE WASHINGTON CUADRA 1, TACABAMBA, CHOTA, CAJAMARCA
CAL. FRANCISCO BOLOGNESI 989, BAMBAMARCA, HUALGAYOC, CAJAMARCA
AV. TACABAMBA C.P. SAN ANTONIO S/N (FRENTE A LA PLAZA DE ARMAS), BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. LIMA 724, COCHABAMBA, CHOTA, CAJAMARCA
PUEBLO LA FLORIDA CALLE CHICLAYO 0210 0000, LA FLORIDA, SAN MIGUEL, CAJAMARCA
AV. TODOS LOS SANTOS N° 405, CHOTA, CHOTA, CAJAMARCA
JR. AMERICA N° 1016, CUTERVO, CUTERVO, CAJAMARCA
AV. TODOS LOS SANTOS 403, CHOTA, CHOTA, CAJAMARCA
JR. SANTA ROSA 107 CENTRO CUTERVO, CUTERVO, CUTERVO, CAJAMARCA
CAL. COMERCIO 365, SAN LUIS DE LUCMA, CUTERVO, CAJAMARCA
CAL. FRANCISCO BOLOGNESI SN (A 60 MTS DEL CENTRO DE SALUD), POMAHUACA, JAEN, CAJAMARCA
CALLE ALAMEDA N° 111 CAS. CHIMBAN, CHIMBAN, CHOTA, CAJAMARCA
JR. EL SOL 235, TACABAMBA, CHOTA, CAJAMARCA
CAL. SANTA ROSA 314 , SAN JUAN DE CUTERVO, CUTERVO, CAJAMARCA
AV. TUPAC AMARU 226 (1 CDRA DELL GRIFO PETROCENTRO BAMBAMARCA), BAMBAMARCA, HUALGAYOC, CAJAMARCA
Ca.Concepción Goicochea SN(C.P Paccha - Frente a la Plaza de Armas del C.P La Paccha) , PACCHA, CHOTA, CAJAMARCA
JR. JAIME DE MARTINEZ 116, BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. TUPAC AMARU 144, HUAMBOS, CHOTA, CAJAMARCA
AV. LAS MANZANAS S/N CENTRO POBLADO LUCMACUCHO LLAUCAN, BAMBAMARCA, HUALGAYOC, CAJAMARCA
AV. SAN JUAN CDRA. 8 (NÚMERO DE SUMINISTRO 28472702), CUTERVO, CUTERVO, CAJAMARCA
AV. COMERCIO Nº 157, LA RAMADA, CUTERVO, CAJAMARCA
CAS. SALABAMBA 100 (TRAS DE LA IGLESIA DEL CASERIO CP SINCHIMACHE), CUTERVO, CUTERVO, CAJAMARCA
CARR. AGUA AZUL - MZ.A SN CAS. AGUA AZUL, LA FLORIDA, SAN MIGUEL, CAJAMARCA
PASAJE SANTA ROSA S/N (BLANCO INTENCIONAL) CENT PUCARA, PUCARA, JAEN, CAJAMARCA
CAL. 18 DE AGOSTO S/N, CATACHE, SANTA CRUZ, CAJAMARCA
CAL. 18 DE AGOSTO S/N, CATACHE, SANTA CRUZ, CAJAMARCA
JR. COMERCIO S.N. (A 3 CUADRAS DE LA COMISARIA), CALLAYUC, CUTERVO, CAJAMARCA
JR. TUPAC AMARU 105 SEC. CHOROS, CHOROS, CUTERVO, CAJAMARCA
AVENIDA GENERAL CABREJOS S/N (REF. CRUCE AVENIDA CAJAMARCA), PULAN, SANTA CRUZ, CAJAMARCA
CENTRO POBLADO EL VERDE S/N, CHALAMARCA, CHOTA, CAJAMARCA
AV SANTA CLARA S/N - CP EL VERDE, CHALAMARCA, CHOTA, CAJAMARCA
JR. CALLAO S/N, QUEROCOTILLO, CUTERVO, CAJAMARCA
JR. COMERCIO ALTO S/N (COSTADO DE ESCUELA ANTIGUA), QUEROCOTILLO, CUTERVO, CAJAMARCA
CPM CUTAXI REF (FRENTE A PARQUE PRINCIPAL), CONCHAN, CHOTA, CAJAMARCA
AV. CAJAMARCA S/N (ALTURA DE OVALO LOS LEONES), CUTERVO, CUTERVO, CAJAMARCA
AV. MARISCAL URETA N° 829, JAEN, JAEN, CAJAMARCA
AV. LA COLMENA S/N, NANCHOC, SAN MIGUEL, CAJAMARCA
MZ.A S/N SERUR AGUA AZUL LA FLORIDA, LA FLORIDA, SAN MIGUEL, CAJAMARCA
P.J ROSAS NIETO S/N CENTRO CHOTA, CHOTA, CHOTA, CAJAMARCA
CALLE GRAU N° 219 - CONCHAN, CONCHAN, CHOTA, CAJAMARCA
JR. RAMON CASTILLA N° 816, BAMBAMARCA, HUALGAYOC, CAJAMARCA
JR. MARÍA ELENA MEDINA 117, CUTERVO, CUTERVO, CAJAMARCA
CHIPLE-CUTERVO KM 76 C.S LAGUNAS SN, CALLAYUC, CUTERVO, CAJAMARCA
CAS. LAGUNAS S/N (REF KM 76 DE LA CARRETERA CHIPLE-CUTERVO ENTRADA AL PUEBLO SANTA CLARA), CALLAYUC, CUTERVO, CAJAMARCA
AV. CIRCUNVALACION MZA. 1A LOTE. 1, NANCHOC, SAN MIGUEL, CAJAMARCA
CAL. RAMON CASTILLA 40 , LA FLORIDA, SAN MIGUEL, CAJAMARCA
JR. ANAXIMANDRO VEGA PROLONGACION SUR N° 162, CHOTA, CHOTA, CAJAMARCA
AV. A Nº 256 SECTOR SANTA EMILIA, JAEN, JAEN, CAJAMARCA
JR. RAMON CASTILLA N° 905 SEGUNDO PISO - CENTRO CUTERVO, CUTERVO, CUTERVO, CAJAMARCA
JR. EDUCACION C.P. LA PUCARA, TACABAMBA, CHOTA, CAJAMARCA
JR. COTORUMI 280, SANTA CRUZ, SANTA CRUZ, CAJAMARCA
CAR. FERNANDO BELAUNDE TERRY KM. 167 (PUENTE DE CHAMAYA ENTRADA A CHONTALI) , CHOROS, CUTERVO, CAJAMARCA
CAS. SAN JUAN DE CHIPLE S/N (SALIDA PARA CUTERVO 3PISOS MAT.NOBLE), CALLAYUC, CUTERVO, CAJAMARCA
CAL. SAN JUAN BAUTISTA 120 (CERCA AL CENTRO EDUCATIVO 10308), LA RAMADA, CUTERVO, CAJAMARCA
C.P EL PAGO, CUJILLO, CUTERVO, CAJAMARCA
JR. MARISCAL CASTILLA 489, PACCHA, CHOTA, CAJAMARCA
JR. TUPAC AMARU CRDA 1 (PARADERO A CHUCMAR. ALTURA CARRETERA CHOTA- TACABAMBA), TACABAMBA, CHOTA, CAJAMARCA
CAL. YERBA SANTA BAJA C.P. YERBA SANTA BAJA 17, HUALGAYOC, HUALGAYOC, CAJAMARCA
JR. CAJAMARCA 835 URB. SAN ISIDRO , CUTERVO, CUTERVO, CAJAMARCA
PSJ. LAS BEGONIAS 154, JAEN, JAEN, CAJAMARCA
JR. CARLOS FICHER S/N, CDRA 2, SOCOTA, CUTERVO, CAJAMARCA
JR. CARLOS FICHER S/N, CDRA 2, SOCOTA, CUTERVO, CAJAMARCA
CALLE LOS GIRASOLES - MZ H, SUB LOTE 08, SECTOR 1, REQUE, CHICLAYO, LAMBAYEQUE
P.J SAN ANTONIO MZA G LOTE 13, OLMOS, LAMBAYEQUE, LAMBAYEQUE
AV. JOSE QUIÑONES 416-URB. CAMPODONICO, MONSEFU, CHICLAYO, LAMBAYEQUE
JOSE QUIÑONES N° 416 - URB. CAMPODONICO , PITIPO, FERREÑAFE, LAMBAYEQUE
CALLE LAS MARGARITAS N° 527 - P.J. 09 DE OCTUBRE, MOTUPE, LAMBAYEQUE, LAMBAYEQUE
CL INDEPENDENCIA NRO. 789 - PUEBLO JOVEN SAN ANTONIO, MOTUPE, LAMBAYEQUE, LAMBAYEQUE
MZA. E LOTE. 23 P.J. SANTA TERESITA, JAYANCA, LAMBAYEQUE, LAMBAYEQUE
JUAN FRANCISCO UGAZ Nº 100 PJ SUAZO, PICSI, CHICLAYO, LAMBAYEQUE
CL. JUAN FRANCISCO UGAZ 100 P.J. SUAZO, SALAS, LAMBAYEQUE, LAMBAYEQUE
AVENIDA PEDRO RUIZ GALLO 1637 CAMPODONICO, OLMOS, LAMBAYEQUE, LAMBAYEQUE
CAL. POLONIA MZA. E LOTE 22 URB. SANTA ALEJANDRINA , OLMOS, LAMBAYEQUE, LAMBAYEQUE
AV. ELVIRA GARCÍA Y GARCÍA N° 230 JOSE OLAYA, POMALCA, CHICLAYO, LAMBAYEQUE
URB. DERRAMA MAGISTERIAL MZ. Z1 LOTE N°8, OLMOS, LAMBAYEQUE, LAMBAYEQUE
SANTOS DUMONT N°170 PP.JJ. MURO, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
PASAJE UNION N° 364, URB. EL PORVENIR, CHICLAYO, CHICLAYO, LAMBAYEQUE
AV. HUMBOLT N° 905 P.J. LOPEZ ALBUJAR, TUMAN, CHICLAYO, LAMBAYEQUE
CALLE LOS HERALDOS NEGROS N° 119 INT. A PP.JJ. CESAR VALLEJO, CHONGOYAPE, CHICLAYO, LAMBAYEQUE
CALLE HUMBOLDT NRO. 343 P.J. SAN ANTONIO, LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
CALLE LA PAZ N° 287 URB. REMIGIO SILVA, FERREÑAFE, FERREÑAFE, LAMBAYEQUE
MZ. MI S/N EX FUNDO OQUENDO, PITIPO, FERREÑAFE, LAMBAYEQUE
PASAJE LA LIBERTAD S/N LOTE 4 PJ RAMÓN CASTILLA, ILLIMO, LAMBAYEQUE, LAMBAYEQUE
CA ATAHUALPA 1321, OLMOS, LAMBAYEQUE, LAMBAYEQUE
CL. ATAHUALPA 1322, OLMOS, LAMBAYEQUE, LAMBAYEQUE
AV. TUPAC AMARU N° 181 C.P. PAMPAGRANDE, CHICLAYO, CHICLAYO, LAMBAYEQUE
CA. LORA Y LORA SN CENT CHONGOYAPE, CHICLAYO, CHICLAYO, LAMBAYEQUE
AV. SIMON BOLIVAR 1537, OLMOS, LAMBAYEQUE, LAMBAYEQUE
CALLE EL PORVENIR MZ A LOTE 1 CP CARNICHE BAJO 1 ETAPA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE MIGUEL GRAU N° 324, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE GONZALES PRADA NRO. 503 , LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
CALLE SAN MARTIN NRO.1133 P.J. SEÑOR DE LA JUSTICIA, PACORA, LAMBAYEQUE, LAMBAYEQUE
AV. TACNA 1079 P.J. SAN JUAN BOSCO, CHICLAYO, CHICLAYO, LAMBAYEQUE
CAL. ILO CENTRO 117, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CL. FRANCISCO GONZALES BURGA 217, CHICLAYO, CHICLAYO, LAMBAYEQUE
CARR. PANAMERICANA 962 CENTRO ILLIMO, ETEN, CHICLAYO, LAMBAYEQUE
CAL. PROGRESO 490, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CALLE BALTA N° 046, A UNA CUADRA DEL CENTRO DE SALUD, SALAS, LAMBAYEQUE, LAMBAYEQUE
AV. JUAN MIGUEL BERNILLA S/N CP UYURPAMPA, MOTUPE, LAMBAYEQUE, LAMBAYEQUE
CALLE 6 MZNA Z1 LOTE 105, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CAL. ELIAS AGUIRRE 695, PATAPO, CHICLAYO, LAMBAYEQUE
MZ. A S/N CASERÍO EL ARENAL, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
CA GRAU 893 , CHICLAYO, CHICLAYO, LAMBAYEQUE
CALLE SANTA JUANITA N° 174 V SECTOR DE URRUNAGA, CHICLAYO, CHICLAYO, LAMBAYEQUE
CAL. LOS EUCALIPTOS P.J. VILLA HERMOSA MZA. C LOTE. 18, CHICLAYO, CHICLAYO, LAMBAYEQUE
AV. VENEZUELA 215, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
ASENTAMIENTO HUMANO SAUL CANTORAL MZ I LOTE 15, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
URB. SAUL CANTORAL MZA. E LOTE. 11 , CHICLAYO, CHICLAYO, LAMBAYEQUE
CL SAN FELIPE N° 410 NUEVO SAN LORENZO, MOCHUMI, LAMBAYEQUE, LAMBAYEQUE
CALLE LUIS HEYSEN N° 199 C.P. ENCARNACIÓN, PATAPO, CHICLAYO, LAMBAYEQUE
MZA E LOTE 32 PP.JJ. VIRGEN DE GUADALUPE (POR LA DERRAMA MAGISTERIAL), SAÑA, CHICLAYO, LAMBAYEQUE
MZA. V LOTE. 29 HABUR SALAMANCA (ENTRE CALLES SAN JOSE OBRERO Y MANUEL PARDO), JAYANCA, LAMBAYEQUE, LAMBAYEQUE
CALLE HUASCAR N° 1135 A P.J URRUNAGA, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
MZ B LOTE 11 SECTOR 3 AH VIRGEN DE GUADALUPE, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
A.H JAVIER CASTRO II MZ H LOTE 5, TUCUME, LAMBAYEQUE, LAMBAYEQUE
CL. SANTA ROSA MZ A LOTE 9 PJ VILLA EL TRIUNFO, PUEBLO NUEVO, FERREÑAFE, LAMBAYEQUE
SAN ANTONIO 416, POMALCA, CHICLAYO, LAMBAYEQUE
CALLE PARDO Y MIGUEL N° 379 URB. LATINA  , OLMOS, LAMBAYEQUE, LAMBAYEQUE
CALLE GRAN CHIMU N° 108 P.J. JORGE CHAVEZ, MONSEFU, CHICLAYO, LAMBAYEQUE
CALLE GRAN CHIMU NRO. 108 PP.JJ. JORGE CHAVEZ, OLMOS, LAMBAYEQUE, LAMBAYEQUE
CALLE GRAN CHIMÚ N° 108 PJ. JORGE CHAVEZ, TUMAN, CHICLAYO, LAMBAYEQUE
CALLE GRAN CHIMU NRO. 108 P.J. JORGE CHAVEZ, LA VICTORIA, CHICLAYO, LAMBAYEQUE
CALLE GRAN CHIMU NRO. 108 PP.JJ. JORGE CHAVEZ, LA VICTORIA, CHICLAYO, LAMBAYEQUE
PROLONGACION MEXICO OESTE Nº 901- P.J. MARIA PARADO DE BELLIDO, PIMENTEL, CHICLAYO, LAMBAYEQUE
PARDO Y MIGUEL Nº 379, OYOTUN, CHICLAYO, LAMBAYEQUE
CALLE PANAMA NRO. 1749, LAGUNAS, CHICLAYO, LAMBAYEQUE
CALLE LAMBAYEQUE 199, SALAS, LAMBAYEQUE, LAMBAYEQUE
P.J. SANTA LUCIA MZA. A LOTE. 10 (SAL. A FERREÑAFE, PASADO GRIFO ROSARIO), SANTA ROSA, CHICLAYO, LAMBAYEQUE
AV. VICTOR RAUL HAYA DE LA TORRE N° 2396 MZ 1 LT 5 , PATAPO, CHICLAYO, LAMBAYEQUE
CL DEMETRIO ACOSTA MZ 147 LOTE 36, PITIPO, FERREÑAFE, LAMBAYEQUE
PJE. CORICANCHA 205, INT. M, MONSEFU, CHICLAYO, LAMBAYEQUE
MZ. 36 LOTE 04 CHOSICA DEL NORTE, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
MZ L 05 SECTOR RURAL-PUEBLO LIBRE, OYOTUN, CHICLAYO, LAMBAYEQUE
CALLE VICTOR RAMIREZ S/N CP UCUPE, CHICLAYO, CHICLAYO, LAMBAYEQUE
CAL. PROLONGACIÓN ANGEL GONZALES MZ. B LOTE 9 AA.HH. PEDRO RUIZ GALLO, JAYANCA, LAMBAYEQUE, LAMBAYEQUE
CALLE EMILIANO NIÑO MZA H LOTE1 P.J. SAN MARTIN, CHICLAYO, CHICLAYO, LAMBAYEQUE
JR. 22 DE OCTUBRE N° 1729, SAN JOSE, LAMBAYEQUE, LAMBAYEQUE
CA LAS DUNAS S/N PPJJ SANTA ROSA, TUCUME, LAMBAYEQUE, LAMBAYEQUE
JR. 22 DE OCTUBRE N° 1729 CENTRO CUTERVO, LA VICTORIA, CHICLAYO, LAMBAYEQUE
CAL. LA MARINA URB. RAMON CASTILLA 331 (EN LA RECTA DEL INST ISATEC), OYOTUN, CHICLAYO, LAMBAYEQUE
CALLE SAN ANTONIO N° 427 - PP.JJ. SAN MARTIN, INCAHUASI, FERREÑAFE, LAMBAYEQUE
CA. 28 DE JULIO 679, TUMAN, CHICLAYO, LAMBAYEQUE
MZ A LOTE S/N CASERIO SOLECAPE, PITIPO, FERREÑAFE, LAMBAYEQUE
PASAJE BOLIVAR Nº 359, OLMOS, LAMBAYEQUE, LAMBAYEQUE
AV. CENTENARIO N° 342, ETEN, CHICLAYO, LAMBAYEQUE
PP.JJ SAN JOSE MONSEFU MZ K LOTE 2, FERREÑAFE, FERREÑAFE, LAMBAYEQUE
AV. TAHUANTINSUYO N° 303, TUCUME, LAMBAYEQUE, LAMBAYEQUE
CAL. CRISTO REY CAS. CASA BLANCA 48, POMALCA, CHICLAYO, LAMBAYEQUE
AV. LOS INCAS MZ D LTE 15 A.H LOS ARENALES CENTRO, PACORA, LAMBAYEQUE, LAMBAYEQUE
CAL. TRES DE DICIEMBRE NRO.349 - UPIS CRUZ DE CHALPON, OYOTUN, CHICLAYO, LAMBAYEQUE
CAL. TRES DE DICIEMBRE NRO.349 - UPIS CRUZ DE CHALPON, CHICLAYO, CHICLAYO, LAMBAYEQUE
CALLE ISMAEL VALIENTE 234 SANCHEZ CERRO, CHICLAYO, CHICLAYO, LAMBAYEQUE
CALLE SAN JOSE N° 501, PIMENTEL, CHICLAYO, LAMBAYEQUE
LOTIZACION ASCENCIO MZ 1 LT 1 SECTOR SANTA JULIA, LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
AV. MIRAFLORES MZ A LOTE S CAS, TONGORRAPE, LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
CASERIO PLAYA DE CASCAJAL S/N, LAMBAYEQUE, LAMBAYEQUE, LAMBAYEQUE
CALLE SANTO DOMINGO N° 613, JOSE LEONARDO ORTIZ, CHICLAYO, LAMBAYEQUE
MZ. A SN SERUR CALLEJON CASCAJAL C.P. LA ESTANCIA, MOTUPE, LAMBAYEQUE, LAMBAYEQUE
CALLE TACNA MZ. Z1 LT 26, OLMOS, LAMBAYEQUE, LAMBAYEQUE
CALLE MIGUEL GRAU 812 - CERCADO, REQUE, CHICLAYO, LAMBAYEQUE
C.P. M. INSCULAS S/N (AL FRENTE DE LA IGLESIA LAS ASAMBLEAS), CHICLAYO, CHICLAYO, LAMBAYEQUE
CASERIO CERRO DE FALLA S/N, OLMOS, LAMBAYEQUE, LAMBAYEQUE
